Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Silicon feet","to avoid the keyboard slipping",1,2.56,"https://a.aliexpress.com/_mO4IA6b","Aliexpress"
"Solder","To hold the components, I'm running out",,4.36,"https://a.aliexpress.com/_mKav2EF","Aliexpress"
"Kailh Hot-swap Sockets","Hot-swap switch mounting",67,7.96,"https://a.aliexpress.com/_mtMnHRv","AliExpress"
"SK6812 Mini-E LEDs","Per-key RGB lighting",67,3.88,"https://a.aliexpress.com/_msnVr4L","AliExpress"
"MX Stabilizers (6.25u + 2u)","Stabilize large keys",3,3.29,"https://a.aliexpress.com/_mqkGaMB","AliExpress"
"ESP32-S3-DevKitC-1 N16R8","Microcontroller",1,4.77,"https://a.aliexpress.com/_mNGX0qx","AliExpress"
"1N4148WS SOD-323 Diodes","Switch matrix diodes",67,1.91,"https://a.aliexpress.com/_m0JBedh","AliExpress"
"65% Keycap Set","Keycaps",1,10.43,"https://a.aliexpress.com/_mqke2HZ","AliExpress"
"Custom PCB ","Main keyboard PCB",1,36.39,"https://jlcpcb.com","JLCPCB"
"3D Printed Case","Holds all components",1,3.00,"","Self"
"74AHCT125 SOIC-14","LED level shifter",1,2.95,"https://a.aliexpress.com/_mte1tpN","AliExpress"
"Cherry MX Switches","Key switches",67,9.48,"https://a.aliexpress.com/_mO8yt4x","AliExpress"
